subregion,year,native_class,pixel_count,area_ha
SLBE,2012,harvest,5992,539.28
SLBE,2012,insect_disease_mort,144,12.96
SLBE,2012,unknown,20,1.8
SLBE,2013,agriculture,365,32.85
SLBE,2013,development,262,23.58
SLBE,2013,harvest,2394,215.46
SLBE,2014,agriculture,917,82.53
SLBE,2014,development,938,84.42
SLBE,2014,harvest,8392,755.28
SLBE,2014,insect_disease_mort,480,43.2
SLBE,2015,agriculture,1133,101.97
SLBE,2015,blowdown,185,16.65
SLBE,2015,development,931,83.79
SLBE,2015,harvest,6363,572.67
SLBE,2015,insect_disease_mort,286,25.74
SLBE,2015,unknown,32,2.88
SLBE,2016,agriculture,592,53.28
SLBE,2016,blowdown,5359,482.31
SLBE,2016,development,997,89.73
SLBE,2016,harvest,4317,388.53
SLBE,2016,insect_disease_mort,213,19.17
SLBE,2016,unknown,34,3.06
SLBE,2017,agriculture,197,17.73
SLBE,2017,development,476,42.84
SLBE,2017,harvest,5539,498.51
SLBE,2017,insect_disease_mort,22,1.98
SLBE,2017,unknown,359,32.31
SLBE,2018,agriculture,2000,180.0
SLBE,2018,development,1606,144.54
SLBE,2018,harvest,4494,404.46
SLBE,2018,insect_disease_mort,48,4.32
SLBE,2019,agriculture,509,45.81
SLBE,2019,development,946,85.14
SLBE,2019,harvest,5480,493.2
SLBE,2019,insect_disease_mort,165,14.85
SLBE,2019,unknown,162,14.58
SLBE,2020,agriculture,459,41.31
SLBE,2020,development,1496,134.64
SLBE,2020,harvest,7036,633.24
SLBE,2020,insect_disease_mort,242,21.78
SLBE,2020,unknown,9,0.81
SLBE,2021,agriculture,154,13.86
SLBE,2021,development,1641,147.69
SLBE,2021,harvest,4349,391.41
SLBE,2021,insect_disease_mort,340,30.6
SLBE,2021,unknown,14,1.26
VOYA,1995,agriculture,37,3.33
VOYA,1995,beaver,784,70.56
VOYA,1995,development,399,35.91
VOYA,1995,harvest,30384,2734.56
VOYA,1995,unknown,128,11.52
VOYA,1996,agriculture,24,2.16
VOYA,1996,beaver,608,54.72
VOYA,1996,development,77,6.93
VOYA,1996,harvest,29825,2684.25
VOYA,1997,agriculture,197,17.73
VOYA,1997,beaver,1785,160.65
VOYA,1997,blowdown,465,41.85
VOYA,1997,development,387,34.83
VOYA,1997,fire,113,10.17
VOYA,1997,harvest,45933,4133.97
VOYA,1998,agriculture,116,10.44
VOYA,1998,beaver,518,46.62
VOYA,1998,development,134,12.06
VOYA,1998,harvest,33399,3005.91
VOYA,1998,unknown,34,3.06
VOYA,1999,beaver,358,32.22
VOYA,1999,blowdown,19383,1744.47
VOYA,1999,development,57,5.13
