us_l3code,SURVEY_YEA,DCA_COMMON,area_m2
1,2020,unknown,71.00272114510679
1,2020,unknown,59.75608357858644
1,2020,unknown,80.7222204574597
1,2020,unknown,139.1457355001537
1,2020,unknown,280.56497533569666
1,2020,unknown,110.58354836147538
1,2020,unknown,26.94951766787402
1,2020,unknown,396.8953068696646
1,2020,unknown,236.11931602342406
1,2020,unknown,131.7263654063492
1,2020,unknown,20.060124788032542
1,2020,unknown,17.213844179366262
1,2020,unknown,11.808535011509184
1,2020,unknown,41.78097470899068
1,2020,unknown,15.968003665441287
1,2020,unknown,109.62309360101936
1,2020,unknown,15.665331099707144
1,2020,unknown,20.189477196559686
1,2020,unknown,51.073655731730284
1,2020,unknown,50.01125999153805
1,2020,unknown,52.47056708706361
1,2020,unknown,28.248087068862173
1,2020,unknown,454.03731028403206
1,2020,unknown,43.589797419894126
1,2020,unknown,36.47649136387515
1,2020,unknown,106.26419189631117
1,2020,unknown,96.79485707496245
1,2020,unknown,66.47673382133844
1,2020,unknown,33.5589158244369
1,2020,unknown,29.19968769675971
1,2020,unknown,28.78837056912601
1,2020,unknown,32.65848148114996
1,2020,unknown,16.216115047949234
1,2020,unknown,33.764918044296266
1,2020,unknown,14.122317582622854
1,2020,unknown,14.893269300067795
1,2020,unknown,11.921067842619923
78,2020,unknown,64.29435346385695
1,2020,unknown,24.060734600400625
78,2020,unknown,53.252040637336854
78,2020,unknown,41.88929200578405
78,2020,unknown,110.4173252651827
78,2020,unknown,25.536864703222342
78,2020,unknown,38.88938322967822
78,2020,unknown,34.94244100369663
78,2020,unknown,400.7981039633509
1,2020,unknown,407.57150494212885
1,2020,unknown,126.24841674850856
78,2020,unknown,8.653893780014426
78,2020,unknown,28.15402203644283
78,2020,unknown,66.77624993902447
78,2020,unknown,33.43608547991998
78,2020,unknown,45.561739902618534
78,2020,unknown,49.22210247421703
78,2020,unknown,137.51678724272242
1,2020,unknown,108.80873771149957
78,2020,unknown,40.06143441174722
1,2020,unknown,25.306287294769646
1,2020,unknown,7.958526536894115
1,2020,unknown,308.0645020164294
1,2020,unknown,14.26626246486284
1,2020,unknown,60.95956167020902
1,2020,unknown,58.72699097825472
1,2020,unknown,45.1482930627775
1,2020,unknown,99.04027082217515
1,2020,unknown,28.505569679185562
1,2020,unknown,34.46890929307235
1,2020,unknown,33.02552124147643
1,2020,unknown,122.3252776737829
1,2020,unknown,38.28812809951906
1,2020,unknown,38.454211217480186
1,2020,unknown,98.82472382201826
1,2020,unknown,28.47407836600976
1,2020,unknown,28.225614348403393
1,2020,unknown,11.530228807557055
1,2020,unknown,158.2710782488372
1,2020,unknown,57.717953160483326
1,2020,unknown,28.899582158584927
1,2020,unknown,36.94869845167643
1,2020,unknown,51.77910199778561
1,2020,unknown,34.03708206208452
1,2020,unknown,24.608851492667732
1,2020,unknown,142.5703996546551
1,2020,unknown,87.99326486503651
1,2020,unknown,27.665194910408363
1,2020,unknown,81.6238642985021
1,2020,unknown,23.01855136928578
1,2020,unknown,31.305502942821228
1,2020,unknown,30.61545290549705
1,2020,unknown,58.96526711671436
1,2020,unknown,18.452372362165626
1,2020,unknown,38.90483528637266
1,2020,unknown,13.662260902765688
1,2020,unknown,89.28260578345979
1,2020,unknown,30.604600257215218
1,2020,unknown,148.86870441937694
1,2020,unknown,33.4166644160144
1,2020,unknown,332.107982800431
1,2020,unknown,16.03510178223043
1,2020,unknown,34.958961267821714
1,2020,unknown,6.455710959616406
78,2020,unknown,38.82971906291856
78,2020,unknown,16.335802581986687
78,2020,unknown,8.393241829297974
78,2020,unknown,12.290188501334448
78,2020,unknown,106.42606472089956
1,2020,unknown,75.29946413939466
1,2020,unknown,24.649765761473077
1,2020,unknown,31.320879660957953
1,2020,unknown,319.2135898226239
1,2020,unknown,11.302215070897809
