us_l3code,SURVEY_YEA,DCA_COMMON,area_m2
78,2020,unknown,102.52663217467006
78,2020,unknown,55.39816060427077
78,2020,unknown,52.32092796491236
78,2020,unknown,49.32767500859851
78,2020,unknown,58.282765733816845
78,2020,unknown,91.8174698479321
78,2020,unknown,143.7754734637494
78,2020,unknown,48.54453269552072
78,2020,unknown,137.46891267275984
78,2020,unknown,114.31387725643103
78,2020,unknown,68.90170155975582
78,2020,unknown,67.56688666909683
78,2020,unknown,28.531721578321086
78,2020,unknown,221.18941353755432
78,2020,unknown,391.38577188234535
78,2020,unknown,115.70392873358091
78,2020,unknown,172.42913331811417
78,2020,unknown,346.2623870405262
78,2020,unknown,153.54417723211353
78,2020,unknown,300.75826115856125
78,2020,unknown,424.39681875307423
78,2020,unknown,198.97183883317453
78,2020,unknown,104.70765619716096
78,2020,unknown,105.71399469862513
78,2020,unknown,131.1608539245356
78,2020,unknown,199.98792598943996
78,2020,unknown,199.95449608269598
78,2020,unknown,98.50707400040463
78,2020,unknown,28.40083730479605
78,2020,unknown,81.58264419152047
78,2020,unknown,151.49319988327892
78,2020,unknown,136.1362885740727
78,2020,unknown,170.10810172333996
78,2020,unknown,126.25803446358121
78,2020,unknown,271.1688704322142
78,2020,unknown,161.60127597281775
78,2020,unknown,325.30414831355637
78,2020,unknown,525.3854102595228
78,2020,unknown,86.35923591513654
78,2020,unknown,59.503903612049776
78,2020,unknown,95.62285319698496
78,2020,unknown,120.84180469323576
78,2020,unknown,127.45467344827964
78,2020,unknown,224.50224191825512
78,2020,unknown,228.868862496023
78,2020,unknown,63.8920036893225
78,2020,unknown,64.18472077323236
78,2020,unknown,41.55857835203669
78,2020,unknown,83.46415475975043
78,2020,unknown,75.89378824334716
78,2020,unknown,28.223705476622857
78,2020,unknown,170.0270445818925
78,2020,unknown,42.993894013186846
78,2020,unknown,31.14785403437665
78,2020,unknown,71.7667731581548
78,2020,unknown,48.86128814420292
78,2020,unknown,41.299401887992836
78,2020,unknown,76.42081038809118
78,2020,unknown,149.03150613269574
78,2020,unknown,79.18380213883572
78,2020,unknown,197.8178956674433
78,2020,unknown,193.86434878828277
78,2020,unknown,88.1152729769186
78,2020,unknown,181.51701609817783
78,2020,unknown,93.13899166466565
78,2020,unknown,118.75825327451066
78,2020,unknown,51.36674386000772
78,2020,unknown,161.26046908130505
78,2020,unknown,135.83688525973454
78,2020,unknown,89.43134243052891
78,2020,unknown,69.27477839161533
78,2020,unknown,23.720044627468564
78,2020,unknown,60.96029678856568
78,2020,unknown,96.67627225361274
78,2020,unknown,1175.1472222935186
78,2020,unknown,90.64321684863611
78,2020,unknown,70.37932707932453
78,2020,unknown,166.03910334594198
78,2020,unknown,134.53961317878907
1,2020,unknown,480.56623739599314
1,2020,unknown,84.95982706236825
1,2020,unknown,307.95088297197213
1,2020,unknown,65.81438472513105
78,2020,unknown,425.6521449721624
1,2020,unknown,96.37779055506012
1,2020,unknown,61.496215001047815
1,2020,unknown,43.45986971607258
1,2020,unknown,36.27112020681625
1,2020,unknown,72.9789438043312
1,2020,unknown,264.4875588375336
1,2020,unknown,236.1821220655036
1,2020,unknown,53.34063563082982
78,2020,unknown,8.084875745553283
78,2020,unknown,17.666695522156136
78,2020,unknown,15.845689204028433
78,2020,unknown,73.72288661415197
78,2020,unknown,65.22633560590486
78,2020,unknown,86.39207904093931
78,2020,unknown,78.31087867646356
78,2020,unknown,42.20373452692964
78,2020,unknown,80.81799403394572
