subregion,year,native_class,pixel_count,area_ha,spatial_prevalence_pct
SACN,1997,beaver,325,29.25,0.639
SACN,1997,unknown,21,1.89,0.041
SACN,1998,development,12231,1100.79,68.783
SACN,1998,harvest,5941,534.69,33.41
SACN,1998,agriculture,97,8.73,0.545
SACN,1998,beaver,19,1.71,0.107
SACN,1999,harvest,12753,1147.77,67.252
SACN,1999,development,6269,564.21,33.059
SACN,1999,agriculture,308,27.72,1.624
SACN,1999,beaver,104,9.36,0.548
SACN,2000,harvest,8614,775.26,53.196
SACN,2000,development,7173,645.57,44.297
SACN,2000,beaver,270,24.3,1.667
SACN,2000,agriculture,228,20.52,1.408
SACN,2000,unknown,24,2.16,0.148
SACN,2001,harvest,24913,2242.17,65.649
SACN,2001,blowdown,7657,689.13,20.177
SACN,2001,development,5742,516.78,15.131
SACN,2001,beaver,271,24.39,0.714
SACN,2001,agriculture,118,10.62,0.311
SACN,2001,unknown,73,6.57,0.192
SACN,2002,harvest,9158,824.22,83.688
SACN,2002,development,1682,151.38,15.371
SACN,2002,unknown,54,4.86,0.493
SACN,2002,agriculture,27,2.43,0.247
SACN,2002,beaver,22,1.98,0.201
SACN,2003,harvest,12539,1128.51,68.843
SACN,2003,development,5339,480.51,29.313
SACN,2003,beaver,233,20.97,1.279
SACN,2003,unknown,104,9.36,0.571
SACN,2003,agriculture,44,3.96,0.242
SACN,2004,harvest,16826,1514.34,78.818
SACN,2004,development,4312,388.08,20.199
SACN,2004,beaver,241,21.69,1.129
SACN,2004,agriculture,230,20.7,1.077
SACN,2004,flooding,12,1.08,0.056
SACN,2005,harvest,10338,930.42,72.911
SACN,2005,development,3389,305.01,23.902
SACN,2005,agriculture,376,33.84,2.652
SACN,2005,beaver,204,18.36,1.439
SACN,2005,unknown,46,4.14,0.324
SACN,2006,harvest,16100,1449.0,75.329
SACN,2006,development,5294,476.46,24.77
SACN,2006,beaver,462,41.58,2.162
SACN,2006,unknown,130,11.7,0.608
SACN,2006,agriculture,111,9.99,0.519
SACN,2006,insect_disease_mort,9,0.81,0.042
