source,subregion,subregion_name,native_class,pixel_count,area_ha,spatial_prevalence_pct
ADS_R6_DCA,15,Northern Rockies,mountain pine beetle,4241484,381733.56,22.398
ADS_R6_DCA,15,Northern Rockies,fir engraver,4199895,377990.55,22.178
ADS_R6_DCA,15,Northern Rockies,western spruce budworm,3330789,299771.01,17.589
ADS_R6_DCA,15,Northern Rockies,Douglas-fir beetle,2355854,212026.86,12.44
ADS_R6_DCA,15,Northern Rockies,larch needle cast,1840148,165613.32,9.717
ADS_R6_DCA,15,Northern Rockies,western pine beetle,1713043,154173.87,9.046
ADS_R6_DCA,15,Northern Rockies,western balsam bark beetle,721994,64979.46,3.813
ADS_R6_DCA,15,Northern Rockies,unknown,709236,63831.24,3.745
ADS_R6_DCA,15,Northern Rockies,larch casebearer,357722,32194.98,1.889
ADS_R6_DCA,15,Northern Rockies,fire,353977,31857.93,1.869
ADS_R6_DCA,15,Northern Rockies,needlecast,269487,24253.83,1.423
ADS_R6_DCA,15,Northern Rockies,Douglas-fir engraver,234719,21124.71,1.239
ADS_R6_DCA,15,Northern Rockies,bears,224171,20175.39,1.184
ADS_R6_DCA,15,Northern Rockies,balsam woolly adelgid,156772,14109.48,0.828
ADS_R6_DCA,15,Northern Rockies,ips engraver beetles,97783,8800.47,0.516
ADS_R6_DCA,15,Northern Rockies,pine engraver,93925,8453.25,0.496
ADS_R6_DCA,15,Northern Rockies,spruce beetle,63650,5728.5,0.336
ADS_R6_DCA,15,Northern Rockies,Lophodermium needle cast of pines,47151,4243.59,0.249
ADS_R6_DCA,15,Northern Rockies,wild fire,37096,3338.64,0.196
ADS_R6_DCA,15,Northern Rockies,decline complex,22630,2036.7,0.12
ADS_R6_DCA,15,Northern Rockies,Douglas-fir tussock moth,19913,1792.17,0.105
ADS_R6_DCA,15,Northern Rockies,wind-tornado/hurricane,18269,1644.21,0.096
ADS_R6_DCA,15,Northern Rockies,satin moth,15679,1411.11,0.083
ADS_R6_DCA,15,Northern Rockies,larch bud moth,9584,862.56,0.051
ADS_R6_DCA,15,Northern Rockies,root diseases/decay,9497,854.73,0.05
